slug,name,scientificname,completeness_score,classification,priority,missing_fields
hyoscyamus-niger,hyoscyamus niger,Hyoscyamus niger,6,ready_for_research,high,
hypericum-perforatum,hypericum perforatum,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
hyssopus-officinalis,hyssopus officinalis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
iboga,iboga,Tabernanthe iboga,4,ready_for_research,medium,preparation; region
ilex-vomitoria,ilex vomitoria,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
indian-lotus,indian lotus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
indian-pipe,indian pipe,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
indian-warrior,indian warrior,Pedicularis densiflora,4,ready_for_research,medium,preparation; region
ipomoea-tricolor-heavenly-blue,ipomoea tricolor (heavenly blue),,5,partial,high,scientificname
jimson-weed,jimson weed,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
ziziphus-jujuba,jujube,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
justicia-adhatoda,justicia adhatoda,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
justicia-pectoralis,justicia pectoralis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
kana,kana,Sceletium tortuosum,4,ready_for_research,medium,preparation; region
sceletium-tortuosum,kanna,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
kava,kava,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
khat,khat,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
kieli,kieli,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
klip-dagga,klip dagga,Leonotis nepetifolia,4,ready_for_research,medium,preparation; region
kra-thum-na-kok,kra thum na / kok,Mitragyna javanica / Mitragyna hirsuta,6,ready_for_research,high,
mitragyna-speciosa,kratom,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
kratom-hybrids,kratom hybrids,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
lactuca-canadensis,lactuca canadensis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
lagochilus-inebrians,lagochilus inebrians,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
lavandula-angustifolia,lavandula angustifolia,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
lavender,lavender,Lavandula angustifolia,4,ready_for_research,high,preparation; region
melissa-officinalis,lemon balm,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
leonotis-leonurus,leonotis leonurus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
leonurus-sibiricus,leonurus sibiricus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
vinca-minor,lesser periwinkle,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tilia-europaea,linden,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
lion-s-mane,lion's mane,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
hericium-erinaceus,lion’s mane,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
lion-s-tail,lion’s tail,Leonotis leonurus,4,ready_for_research,medium,preparation; region
lobelia-inflata,lobelia inflata,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
lsd,lsd,Lysergic acid diethylamide,6,ready_for_research,high,
lepidium-meyenii,maca,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
maca-root,maca root,Lepidium meyenii,4,ready_for_research,high,preparation; region
zornia-latifolia,maconha brava,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
mandragora-officinarum,mandrake,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
mandrake-root,mandrake root,,5,partial,high,scientificname
mapacho,mapacho,Nicotiana rustica,6,ready_for_research,high,
marrubium-vulgare,marrubium vulgare,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
althaea-officinalis,marshmallow root,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
melissa-officinalis-lemon-balm,melissa officinalis (lemon balm),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
mescaline,mescaline,"3,4,5-trimethoxyphenethylamine",6,ready_for_research,high,
piper-auritum,mexican pepperleaf,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
tagetes-lucida,mexican tarragon,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
mimosa-hostilis,mimosa hostilis,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
mimosa-pudica,mimosa pudica,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
viscum-album,mistletoe,Viscum album,6,ready_for_research,high,
mitchella-repens,mitchella repens,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
mitragyna-hirsuta,mitragyna hirsuta,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
mormon-tea,mormon tea,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
ipomoea-tricolor,morning glory (heavenly blue),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
leonurus-cardiaca,motherwort,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
mucuna-pruriens,mucuna pruriens,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
artemisia-vulgaris,mugwort,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
muira-puama,muira puama,Ptychopetalum olacoides,4,ready_for_research,medium,preparation; region
verbascum-thapsus,mullein,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
mulungu,mulungu,Erythrina mulungu,4,ready_for_research,medium,preparation; region
myristica-fragrans,myristica fragrans,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
nelumbo-nucifera,nelumbo nucifera,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
nicotiana-rustica,nicotiana rustica,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
nicotiana-tabacum,nicotiana tabacum,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
nymphaea-ampla,nymphaea ampla,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
nymphaea-lotus,nymphaea lotus,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
nymphaea-rubra,nymphaea rubra,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
ocimum-sanctum-holy-basil-tulsi,ocimum sanctum (holy basil / tulsi),,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
opium-poppy,opium poppy,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
passiflora-incarnata,passionflower,,2,weak,low,scientificname; effects / therapeuticUses; preparation; region
